evt_nokonoko_urouro_check_func = .text:0x805baa64; //type:function size:0x148 scope:local
str_stg1_nok_09_yesno_nok_00000bd0 = .rodata:0x805bb570; //type:object size:0x12 scope:local
str_stg1_nok_09_01_nok_00000be4 = .rodata:0x805bb584; //type:object size:0xf scope:local
str_stg1_nok_09_01_1_nok_00000bf4 = .rodata:0x805bb594; //type:object size:0x11 scope:local
str_stg1_nok_09_01_1_1_nok_00000c08 = .rodata:0x805bb5a8; //type:object size:0x13 scope:local
str_irai_15_001_nok_00000c1c = .rodata:0x805bb5bc; //type:object size:0xc scope:local
str_irai_15_002_nok_00000c28 = .rodata:0x805bb5c8; //type:object size:0xc scope:local
str_irai_15_003_nok_00000c34 = .rodata:0x805bb5d4; //type:object size:0xc scope:local
str_irai_15_004_nok_00000c40 = .rodata:0x805bb5e0; //type:object size:0xc scope:local
str_irai_15_008_nok_00000c4c = .rodata:0x805bb5ec; //type:object size:0xc scope:local
str_irai_15_005_nok_00000c58 = .rodata:0x805bb5f8; //type:object size:0xc scope:local
str_df_nok_00000c64 = .rodata:0x805bb604; //type:object size:0x3 scope:local
str_irai_15_007_nok_00000c68 = .rodata:0x805bb608; //type:object size:0xc scope:local
str_sys_request_finish_nok_00000c74 = .rodata:0x805bb614; //type:object size:0x13 scope:local
str_irai_15_009_nok_00000c88 = .rodata:0x805bb628; //type:object size:0xc scope:local
str_irai_15_010_nok_00000c94 = .rodata:0x805bb634; //type:object size:0xc scope:local
str_irai_15_010_sel_nok_00000ca0 = .rodata:0x805bb640; //type:object size:0x10 scope:local
str_irai_15_012_nok_00000cb0 = .rodata:0x805bb650; //type:object size:0xc scope:local
str_irai_15_013_nok_00000cbc = .rodata:0x805bb65c; //type:object size:0xc scope:local
str_irai_15_015_nok_00000cc8 = .rodata:0x805bb668; //type:object size:0xc scope:local
str_irai_15_016_nok_00000cd4 = .rodata:0x805bb674; //type:object size:0xc scope:local
str_stg1_nok_17_nok_00000ce0 = .rodata:0x805bb680; //type:object size:0xc scope:local
str_stg1_nok_17_01_nok_00000cec = .rodata:0x805bb68c; //type:object size:0xf scope:local
str_stg1_nok_18_nok_00000cfc = .rodata:0x805bb69c; //type:object size:0xc scope:local
str_stg1_nok_18_1_nok_00000d08 = .rodata:0x805bb6a8; //type:object size:0xe scope:local
str_stg1_nok_18_1_1_nok_00000d18 = .rodata:0x805bb6b8; //type:object size:0x10 scope:local
str_stg1_nok_19_01_nok_00000d28 = .rodata:0x805bb6c8; //type:object size:0xf scope:local
str_stg1_nok_19_02_nok_00000d38 = .rodata:0x805bb6d8; //type:object size:0xf scope:local
str_stg1_nok_19_03_nok_00000d48 = .rodata:0x805bb6e8; //type:object size:0xf scope:local
str_stg1_nok_19_04_nok_00000d58 = .rodata:0x805bb6f8; //type:object size:0xf scope:local
str_stg1_nok_10_nok_00000d68 = .rodata:0x805bb708; //type:object size:0xc scope:local
str_stg1_nok_11_nok_00000d74 = .rodata:0x805bb714; //type:object size:0xc scope:local
str_party_nok_00000d80 = .rodata:0x805bb720; //type:object size:0x6 scope:local
str_stg1_nok_12_nok_00000d88 = .rodata:0x805bb728; //type:object size:0xc scope:local
str_stg1_nok_13_nok_00000d94 = .rodata:0x805bb734; //type:object size:0xc scope:local
str_stg1_nok_14_nok_00000da0 = .rodata:0x805bb740; //type:object size:0xc scope:local
str_stg1_nok_15_nok_00000dac = .rodata:0x805bb74c; //type:object size:0xc scope:local
str_stg1_nok_16_nok_00000db8 = .rodata:0x805bb758; //type:object size:0xc scope:local
str_キザ野郎_nok_00000dc4 = .rodata:0x805bb764; //type:object size:0x9 scope:local
str_c_kiza_nok_00000dd0 = .rodata:0x805bb770; //type:object size:0x7 scope:local
str_ノコノコA_nok_00000dd8 = .rodata:0x805bb778; //type:object size:0xa scope:local
str_ノコノコB_nok_00000de4 = .rodata:0x805bb784; //type:object size:0xa scope:local
str_ノコノコC_nok_00000df0 = .rodata:0x805bb790; //type:object size:0xa scope:local
str_ノコノコD_nok_00000dfc = .rodata:0x805bb79c; //type:object size:0xa scope:local
str_ノコノコF_nok_00000e08 = .rodata:0x805bb7a8; //type:object size:0xa scope:local
str_宿店員_nok_00000e14 = .rodata:0x805bb7b4; //type:object size:0x7 scope:local
str_店員_nok_00000e1c = .rodata:0x805bb7bc; //type:object size:0x5 scope:local
str_ババ_nok_00000e24 = .rodata:0x805bb7c4; //type:object size:0x5 scope:local
str_ホワイト_nok_00000e2c = .rodata:0x805bb7cc; //type:object size:0x9 scope:local
str_w_bero_nok_00000e38 = .rodata:0x805bb7d8; //type:object size:0x7 scope:local
str_hei_01_nok_00000e40 = .rodata:0x805bb7e0; //type:object size:0x7 scope:local
str_e_bero_nok_00000e48 = .rodata:0x805bb7e8; //type:object size:0x7 scope:local
str_nok_01_nok_00000e50 = .rodata:0x805bb7f0; //type:object size:0x7 scope:local
str_S_yad_mae_nok_00000e58 = .rodata:0x805bb7f8; //type:object size:0xa scope:local
str_A_yad_doa01_nok_00000e64 = .rodata:0x805bb804; //type:object size:0xc scope:local
str_A_yad_in_doa_nok_00000e70 = .rodata:0x805bb810; //type:object size:0xd scope:local
str_S_yado_open_nok_00000e80 = .rodata:0x805bb820; //type:object size:0xc scope:local
str_S_yado_doa_open_nok_00000e8c = .rodata:0x805bb82c; //type:object size:0x10 scope:local
str_S_yado_close_nok_00000e9c = .rodata:0x805bb83c; //type:object size:0xd scope:local
str_S_yado_doa_close_nok_00000eac = .rodata:0x805bb84c; //type:object size:0x11 scope:local
str_S_yad_doa01_nok_00000ec0 = .rodata:0x805bb860; //type:object size:0xc scope:local
str_S_yado_in_nok_00000ecc = .rodata:0x805bb86c; //type:object size:0xa scope:local
str_A_yado_in_nok_00000ed8 = .rodata:0x805bb878; //type:object size:0xa scope:local
str_A_mise_doa_nok_00000ee4 = .rodata:0x805bb884; //type:object size:0xb scope:local
str_A_mise_in_doa_nok_00000ef0 = .rodata:0x805bb890; //type:object size:0xe scope:local
str_S_mise_open_nok_00000f00 = .rodata:0x805bb8a0; //type:object size:0xc scope:local
str_S_mise_doa_open_nok_00000f0c = .rodata:0x805bb8ac; //type:object size:0x10 scope:local
str_S_mise_close_nok_00000f1c = .rodata:0x805bb8bc; //type:object size:0xd scope:local
str_S_mise_doa_close_nok_00000f2c = .rodata:0x805bb8cc; //type:object size:0x11 scope:local
str_S_mise_mae_nok_00000f40 = .rodata:0x805bb8e0; //type:object size:0xb scope:local
str_S_mise_doa_nok_00000f4c = .rodata:0x805bb8ec; //type:object size:0xb scope:local
str_S_mise_in_nok_00000f58 = .rodata:0x805bb8f8; //type:object size:0xa scope:local
str_A_mise_in_nok_00000f64 = .rodata:0x805bb904; //type:object size:0xa scope:local
str_S_ie_mae_nok_00000f70 = .rodata:0x805bb910; //type:object size:0x9 scope:local
str_A_ie_doa_nok_00000f7c = .rodata:0x805bb91c; //type:object size:0x9 scope:local
str_A_ie_in_doa_nok_00000f88 = .rodata:0x805bb928; //type:object size:0xc scope:local
str_S_ie_open_nok_00000f94 = .rodata:0x805bb934; //type:object size:0xa scope:local
str_S_ie_doa_open_nok_00000fa0 = .rodata:0x805bb940; //type:object size:0xe scope:local
str_S_ie_close_nok_00000fb0 = .rodata:0x805bb950; //type:object size:0xb scope:local
str_S_ie_doa_close_nok_00000fbc = .rodata:0x805bb95c; //type:object size:0xf scope:local
str_S_ie_doa_nok_00000fcc = .rodata:0x805bb96c; //type:object size:0x9 scope:local
str_S_ie_in_nok_00000fd8 = .rodata:0x805bb978; //type:object size:0x8 scope:local
str_A_ie_in_nok_00000fe0 = .rodata:0x805bb980; //type:object size:0x8 scope:local
str_S_item_01_nok_00000fe8 = .rodata:0x805bb988; //type:object size:0xa scope:local
str_A_item_01_nok_00000ff4 = .rodata:0x805bb994; //type:object size:0xa scope:local
str_S_item_02_nok_00001000 = .rodata:0x805bb9a0; //type:object size:0xa scope:local
str_A_item_02_nok_0000100c = .rodata:0x805bb9ac; //type:object size:0xa scope:local
str_S_item_03_nok_00001018 = .rodata:0x805bb9b8; //type:object size:0xa scope:local
str_A_item_03_nok_00001024 = .rodata:0x805bb9c4; //type:object size:0xa scope:local
str_S_item_04_nok_00001030 = .rodata:0x805bb9d0; //type:object size:0xa scope:local
str_A_item_04_nok_0000103c = .rodata:0x805bb9dc; //type:object size:0xa scope:local
str_S_item_05_nok_00001048 = .rodata:0x805bb9e8; //type:object size:0xa scope:local
str_A_item_05_nok_00001054 = .rodata:0x805bb9f4; //type:object size:0xa scope:local
str_S_item_06_nok_00001060 = .rodata:0x805bba00; //type:object size:0xa scope:local
str_A_item_06_nok_0000106c = .rodata:0x805bba0c; //type:object size:0xa scope:local
str_shop_00_nok_00001078 = .rodata:0x805bba18; //type:object size:0x8 scope:local
str_shop_01_nok_00001080 = .rodata:0x805bba20; //type:object size:0x8 scope:local
str_shop_02_nok_00001088 = .rodata:0x805bba28; //type:object size:0x8 scope:local
str_shop_03_nok_00001090 = .rodata:0x805bba30; //type:object size:0x8 scope:local
str_shop_04_nok_00001098 = .rodata:0x805bba38; //type:object size:0x8 scope:local
str_shop_05_nok_000010a0 = .rodata:0x805bba40; //type:object size:0x8 scope:local
str_shop_06_nok_000010a8 = .rodata:0x805bba48; //type:object size:0x8 scope:local
str_shop_07_nok_000010b0 = .rodata:0x805bba50; //type:object size:0x8 scope:local
str_shop_08_nok_000010b8 = .rodata:0x805bba58; //type:object size:0x8 scope:local
str_shop_09_nok_000010c0 = .rodata:0x805bba60; //type:object size:0x8 scope:local
str_shop_10_nok_000010c8 = .rodata:0x805bba68; //type:object size:0x8 scope:local
str_shop_11_nok_000010d0 = .rodata:0x805bba70; //type:object size:0x8 scope:local
str_shop_12_nok_000010d8 = .rodata:0x805bba78; //type:object size:0x8 scope:local
str_shop_13_nok_000010e0 = .rodata:0x805bba80; //type:object size:0x8 scope:local
str_shop_14_nok_000010e8 = .rodata:0x805bba88; //type:object size:0x8 scope:local
str_shop_15_nok_000010f0 = .rodata:0x805bba90; //type:object size:0x8 scope:local
str_shop_16_nok_000010f8 = .rodata:0x805bba98; //type:object size:0x8 scope:local
str_shop_17_nok_00001100 = .rodata:0x805bbaa0; //type:object size:0x8 scope:local
str_shop_18_nok_00001108 = .rodata:0x805bbaa8; //type:object size:0x8 scope:local
str_shop_19_nok_00001110 = .rodata:0x805bbab0; //type:object size:0x8 scope:local
str_shop_20_nok_00001118 = .rodata:0x805bbab8; //type:object size:0x8 scope:local
str_shop_21_nok_00001120 = .rodata:0x805bbac0; //type:object size:0x8 scope:local
str_shop_22_nok_00001128 = .rodata:0x805bbac8; //type:object size:0x8 scope:local
str_shop_23_nok_00001130 = .rodata:0x805bbad0; //type:object size:0x8 scope:local
str_shop_24_nok_00001138 = .rodata:0x805bbad8; //type:object size:0x8 scope:local
str_shop_25_nok_00001140 = .rodata:0x805bbae0; //type:object size:0x8 scope:local
str_shop_26_nok_00001148 = .rodata:0x805bbae8; //type:object size:0x8 scope:local
str_shop_27_nok_00001150 = .rodata:0x805bbaf0; //type:object size:0x8 scope:local
str_shop_28_nok_00001158 = .rodata:0x805bbaf8; //type:object size:0x8 scope:local
str_shop_29_nok_00001160 = .rodata:0x805bbb00; //type:object size:0x8 scope:local
str_shop_30_nok_00001168 = .rodata:0x805bbb08; //type:object size:0x8 scope:local
str_shop_31_nok_00001170 = .rodata:0x805bbb10; //type:object size:0x8 scope:local
str_shop_32_nok_00001178 = .rodata:0x805bbb18; //type:object size:0x8 scope:local
str_shop_33_nok_00001180 = .rodata:0x805bbb20; //type:object size:0x8 scope:local
str_shop_34_nok_00001188 = .rodata:0x805bbb28; //type:object size:0x8 scope:local
str_yado_00_nok_00001190 = .rodata:0x805bbb30; //type:object size:0x8 scope:local
str_yado_01_nok_00001198 = .rodata:0x805bbb38; //type:object size:0x8 scope:local
str_yado_02_nok_000011a0 = .rodata:0x805bbb40; //type:object size:0x8 scope:local
str_yado_03_nok_000011a8 = .rodata:0x805bbb48; //type:object size:0x8 scope:local
str_yado_04_nok_000011b0 = .rodata:0x805bbb50; //type:object size:0x8 scope:local
str_yado_05_nok_000011b8 = .rodata:0x805bbb58; //type:object size:0x8 scope:local
str_yado_06_nok_000011c0 = .rodata:0x805bbb60; //type:object size:0x8 scope:local
str_yado_07_nok_000011c8 = .rodata:0x805bbb68; //type:object size:0x8 scope:local
str_yado_08_nok_000011d0 = .rodata:0x805bbb70; //type:object size:0x8 scope:local
str_yado_09_nok_000011d8 = .rodata:0x805bbb78; //type:object size:0x8 scope:local
str_yado_10_nok_000011e0 = .rodata:0x805bbb80; //type:object size:0x8 scope:local
str_yado_11_nok_000011e8 = .rodata:0x805bbb88; //type:object size:0x8 scope:local
str_yado_12_nok_000011f0 = .rodata:0x805bbb90; //type:object size:0x8 scope:local
str_yado_13_nok_000011f8 = .rodata:0x805bbb98; //type:object size:0x8 scope:local
str_stg1_nok_01_nok_00001200 = .rodata:0x805bbba0; //type:object size:0xc scope:local
str_SFX_VOICE_MARIO_HAND_nok_0000120c = .rodata:0x805bbbac; //type:object size:0x1b scope:local
str_stg1_nok_01_01_nok_00001228 = .rodata:0x805bbbc8; //type:object size:0xf scope:local
str_stg1_nok_01_02_nok_00001238 = .rodata:0x805bbbd8; //type:object size:0xf scope:local
str_stg1_nok_01_03_nok_00001248 = .rodata:0x805bbbe8; //type:object size:0xf scope:local
str_stg1_nok_01_04_nok_00001258 = .rodata:0x805bbbf8; //type:object size:0xf scope:local
str_BGM_STG1_NOK1_nok_00001268 = .rodata:0x805bbc08; //type:object size:0xe scope:local
str_mod_00_nok_00001278 = .rodata:0x805bbc18; //type:object size:0x7 scope:local
str_mod_01_nok_00001280 = .rodata:0x805bbc20; //type:object size:0x7 scope:local
str_mod_02_nok_00001288 = .rodata:0x805bbc28; //type:object size:0x7 scope:local
str_mod_04_nok_00001290 = .rodata:0x805bbc30; //type:object size:0x7 scope:local
str_mod_05_nok_00001298 = .rodata:0x805bbc38; //type:object size:0x7 scope:local
str_mod_06_nok_000012a0 = .rodata:0x805bbc40; //type:object size:0x7 scope:local
str_mod_07_nok_000012a8 = .rodata:0x805bbc48; //type:object size:0x7 scope:local
str_mod_08_nok_000012b0 = .rodata:0x805bbc50; //type:object size:0x7 scope:local
str_A_hasi04_nok_000012b8 = .rodata:0x805bbc58; //type:object size:0x9 scope:local
str_poster_nok_000012c4 = .rodata:0x805bbc64; //type:object size:0x7 scope:local
str_c_p_peach_nok_000012cc = .rodata:0x805bbc6c; //type:object size:0xa scope:local
str_S_ie_mad02_nok_000012d8 = .rodata:0x805bbc78; //type:object size:0xb scope:local
str_ENV_STG1_NOK1_nok_000012e4 = .rodata:0x805bbc84; //type:object size:0xe scope:local
str_SFX_KUPPA_KAMEBABA_F_nok_000012f4 = .rodata:0x805bbc94; //type:object size:0x18 scope:local
zero_nok_0000130c = .rodata:0x805bbcac; //type:object size:0x1 scope:local
str_kpa_stg2_004_nok_00001310 = .rodata:0x805bbcb0; //type:object size:0xd scope:local
str_BGM_EVT_KUPPA1_nok_00001320 = .rodata:0x805bbcc0; //type:object size:0xf scope:local
str_NOK_S_2_nok_00001330 = .rodata:0x805bbcd0; //type:object size:0x8 scope:local
str_NOK_T_2_nok_00001338 = .rodata:0x805bbcd8; //type:object size:0x8 scope:local
str_kpa_stg2_004_1_nok_00001340 = .rodata:0x805bbce0; //type:object size:0xf scope:local
str_NOK_R_2_nok_00001350 = .rodata:0x805bbcf0; //type:object size:0x8 scope:local
str_SFX_KUPPA_NOKO_ESCAP_nok_00001358 = .rodata:0x805bbcf8; //type:object size:0x17 scope:local
str_SFX_DOOR_SHUT1_nok_00001370 = .rodata:0x805bbd10; //type:object size:0xf scope:local
str_mario_nok_00001380 = .rodata:0x805bbd20; //type:object size:0x6 scope:local
str_KPA_S_1_nok_00001388 = .rodata:0x805bbd28; //type:object size:0x8 scope:local
str_KPA_T_1_nok_00001390 = .rodata:0x805bbd30; //type:object size:0x8 scope:local
str_kpa_stg2_007_nok_00001398 = .rodata:0x805bbd38; //type:object size:0xd scope:local
str_kpa_stg2_008_nok_000013a8 = .rodata:0x805bbd48; //type:object size:0xd scope:local
str_SFX_KUPPA_FIND_PEACH_nok_000013b8 = .rodata:0x805bbd58; //type:object size:0x16 scope:local
str_kpa_stg2_009_nok_000013d0 = .rodata:0x805bbd70; //type:object size:0xd scope:local
str_SFX_VOICE_KOOPA_LAUG_nok_000013e0 = .rodata:0x805bbd80; //type:object size:0x19 scope:local
str_KPA_S_3_nok_000013fc = .rodata:0x805bbd9c; //type:object size:0x8 scope:local
str_KPA_T_2_nok_00001404 = .rodata:0x805bbda4; //type:object size:0x8 scope:local
str_kpa_stg2_010_nok_0000140c = .rodata:0x805bbdac; //type:object size:0xd scope:local
str_kpa_stg2_011_nok_0000141c = .rodata:0x805bbdbc; //type:object size:0xd scope:local
str_kpa_stg2_012_nok_0000142c = .rodata:0x805bbdcc; //type:object size:0xd scope:local
str_A_4_nok_0000143c = .rodata:0x805bbddc; //type:object size:0x4 scope:local
str_kpa_stg2_013_nok_00001440 = .rodata:0x805bbde0; //type:object size:0xd scope:local
str_kpa_stg2_014_nok_00001450 = .rodata:0x805bbdf0; //type:object size:0xd scope:local
str_kpa_stg2_015_nok_00001460 = .rodata:0x805bbe00; //type:object size:0xd scope:local
str_SFX_VOICE_KOOPA_SURP_nok_00001470 = .rodata:0x805bbe10; //type:object size:0x1d scope:local
str_kpa_stg2_016_nok_00001490 = .rodata:0x805bbe30; //type:object size:0xd scope:local
str_NOK_R_4_nok_000014a0 = .rodata:0x805bbe40; //type:object size:0x8 scope:local
str_SFX_KUPPA_NOKO_JUMP1_nok_000014a8 = .rodata:0x805bbe48; //type:object size:0x15 scope:local
str_NOK_A_1_nok_000014c0 = .rodata:0x805bbe60; //type:object size:0x8 scope:local
str_A_1_nok_000014c8 = .rodata:0x805bbe68; //type:object size:0x4 scope:local
str_NOK_S_3_nok_000014cc = .rodata:0x805bbe6c; //type:object size:0x8 scope:local
str_Z_2_nok_000014d4 = .rodata:0x805bbe74; //type:object size:0x4 scope:local
str_SFX_KUPPA_NOKO_POSTE_nok_000014d8 = .rodata:0x805bbe78; //type:object size:0x17 scope:local
str_KPA_O_1_nok_000014f0 = .rodata:0x805bbe90; //type:object size:0x8 scope:local
str_SFX_VOICE_KOOPA_SURP_nok_000014f8 = .rodata:0x805bbe98; //type:object size:0x1d scope:local
str_KPA_S_5_nok_00001518 = .rodata:0x805bbeb8; //type:object size:0x8 scope:local
str_NOK_R_3_nok_00001520 = .rodata:0x805bbec0; //type:object size:0x8 scope:local
str_S_ie_in_kabe_nok_00001528 = .rodata:0x805bbec8; //type:object size:0xd scope:local
str_SFX_DOOR_OPEN1_nok_00001538 = .rodata:0x805bbed8; //type:object size:0xf scope:local
str_KPA_T_5_nok_00001548 = .rodata:0x805bbee8; //type:object size:0x8 scope:local
str_kpa_stg2_017_nok_00001550 = .rodata:0x805bbef0; //type:object size:0xd scope:local
str_kpa_stg2_018_nok_00001560 = .rodata:0x805bbf00; //type:object size:0xd scope:local
str_SFX_VOICE_KOOPA_SATI_nok_00001570 = .rodata:0x805bbf10; //type:object size:0x1c scope:local
str_KPA_S_2_nok_0000158c = .rodata:0x805bbf2c; //type:object size:0x8 scope:local
str_KPA_T_4_nok_00001594 = .rodata:0x805bbf34; //type:object size:0x8 scope:local
str_kpa_stg2_019_nok_0000159c = .rodata:0x805bbf3c; //type:object size:0xd scope:local
str_mri_00_nok_000015ac = .rodata:0x805bbf4c; //type:object size:0x7 scope:local
str_S_kawa_nok_000015b4 = .rodata:0x805bbf54; //type:object size:0x7 scope:local
str_mobj_save_nok_000015bc = .rodata:0x805bbf5c; //type:object size:0xa scope:local
str_butterfly_nok_000015c8 = .rodata:0x805bbf68; //type:object size:0xa scope:local
str_kururin1_nok_000015d4 = .rodata:0x805bbf74; //type:object size:0x9 scope:local
str_S_ground03_nok_000015e0 = .rodata:0x805bbf80; //type:object size:0xb scope:local
str_pPlaneShape2_nok_000015ec = .rodata:0x805bbf8c; //type:object size:0xd scope:local
str_locator7_nok_000015fc = .rodata:0x805bbf9c; //type:object size:0x9 scope:local
str_me_nok_00001608 = .rodata:0x805bbfa8; //type:object size:0x3 scope:local
str_stg1_nok_20_nok_0000160c = .rodata:0x805bbfac; //type:object size:0xc scope:local
str_stg1_nok_20_01_nok_00001618 = .rodata:0x805bbfb8; //type:object size:0xf scope:local
str_stg1_nok_21_nok_00001628 = .rodata:0x805bbfc8; //type:object size:0xc scope:local
str_stg1_nok_21_1_nok_00001634 = .rodata:0x805bbfd4; //type:object size:0xe scope:local
str_stg1_nok_21_1_1_nok_00001644 = .rodata:0x805bbfe4; //type:object size:0x10 scope:local
str_stg1_nok_22_nok_00001654 = .rodata:0x805bbff4; //type:object size:0xc scope:local
str_stg1_nok_22_01_nok_00001660 = .rodata:0x805bc000; //type:object size:0xf scope:local
str_stg1_nok_23_nok_00001670 = .rodata:0x805bc010; //type:object size:0xc scope:local
str_stg1_nok_23_yesno_nok_0000167c = .rodata:0x805bc01c; //type:object size:0x12 scope:local
str_stg1_nok_23_01_nok_00001690 = .rodata:0x805bc030; //type:object size:0xf scope:local
str_stg1_nok_23_01_1_nok_000016a0 = .rodata:0x805bc040; //type:object size:0x11 scope:local
str_stg1_nok_23_01_1_1_nok_000016b4 = .rodata:0x805bc054; //type:object size:0x13 scope:local
str_stg1_nok_24_nok_000016c8 = .rodata:0x805bc068; //type:object size:0xc scope:local
str_stg1_nok_24_01_nok_000016d4 = .rodata:0x805bc074; //type:object size:0xf scope:local
str_stg1_nok_25_nok_000016e4 = .rodata:0x805bc084; //type:object size:0xc scope:local
str_stg1_nok_25_1_nok_000016f0 = .rodata:0x805bc090; //type:object size:0xe scope:local
str_stg1_nok_25_1_1_nok_00001700 = .rodata:0x805bc0a0; //type:object size:0x10 scope:local
str_stg1_nok_28_nok_00001710 = .rodata:0x805bc0b0; //type:object size:0xc scope:local
str_M_S_1_nok_0000171c = .rodata:0x805bc0bc; //type:object size:0x6 scope:local
str_A_mon_nok_00001724 = .rodata:0x805bc0c4; //type:object size:0x6 scope:local
str_門番ノコノコ_nok_0000172c = .rodata:0x805bc0cc; //type:object size:0xd scope:local
str_SFX_FENCE_OPEN1_nok_0000173c = .rodata:0x805bc0dc; //type:object size:0x10 scope:local
str_S_mon_nok_0000174c = .rodata:0x805bc0ec; //type:object size:0x6 scope:local
str_ノコタロウ_nok_00001754 = .rodata:0x805bc0f4; //type:object size:0xb scope:local
str_mario_nok_00001760 = .rodata:0x805bc100; //type:object size:0x6 scope:local
str_stg1_nok_29_nok_00001768 = .rodata:0x805bc108; //type:object size:0xc scope:local
str_stg1_nok_30_nok_00001774 = .rodata:0x805bc114; //type:object size:0xc scope:local
str_stg1_nok_30_01_nok_00001780 = .rodata:0x805bc120; //type:object size:0xf scope:local
str_party_nok_00001790 = .rodata:0x805bc130; //type:object size:0x6 scope:local
str_stg1_nok_26_nok_00001798 = .rodata:0x805bc138; //type:object size:0xc scope:local
str_stg1_nok_31_01_00_nok_000017a4 = .rodata:0x805bc144; //type:object size:0x12 scope:local
str_stg1_nok_31_01_01_nok_000017b8 = .rodata:0x805bc158; //type:object size:0x12 scope:local
str_stg1_nok_31_02_1_nok_000017cc = .rodata:0x805bc16c; //type:object size:0x11 scope:local
str_stg1_nok_31_02_2_nok_000017e0 = .rodata:0x805bc180; //type:object size:0x11 scope:local
str_stg1_nok_31_02_2_1_nok_000017f4 = .rodata:0x805bc194; //type:object size:0x13 scope:local
str_stg1_nok_27_nok_00001808 = .rodata:0x805bc1a8; //type:object size:0xc scope:local
str_stg1_nok_27_01_nok_00001814 = .rodata:0x805bc1b4; //type:object size:0xf scope:local
str_stg1_nok_31_nok_00001824 = .rodata:0x805bc1c4; //type:object size:0xc scope:local
